ALMIRA NO.1,,,,,,
C&S,     DOWEL PIN OF D/O GEAR OF 4800A ACB,220V DC,ACB ACCESSORIES CS-AVH-S-116MD,,2,
SIEMENS,     DOWEL PIN OF D/O GEAR OF 1650A ACB,220V DC,ACB ACCESSORIES CS-AVH-C-116MD,,41-2=39,2 issued on 1 feb to rohan
C&S,     DOWEL PIN OF D/O GEAR OF 1800A ACB,220V DC,ACB ACCESSORIES CS-AVH-C-116MD,,13,
C&S,     DOWEL PIN OF D/O GEAR OF 4700A ACB,220V DC,ACB ACCESSORIES CS-AVH-C-116MD,,4,
C&S,     DOWEL PIN OF D/O GEAR OF 4200A ACB,,ABC ACCESSORIES CLATCH-16B,,9,
C&S,     DOWEL PIN OF D/O GEAR OF 4500A ACB,,ACB ACCESSORIES CLCHOOKPIN-16B,,9,
C&S,     DOWEL PIN OF D/O GEAR OF 4150A ACB,,,,,
,,,,,,
ALMIRA NO.5,,,,,,
MAKE,MATERIAL DISCRIPTION,TYPE (RATING),SIZE,LOCATION,TOTAL NO,
,HT BREAKER COIL 220V,220V,219.2,5 ALMIRA / 1 RACK,15,
,,BATTERY,,5 ALMIRA / 1 RACK,02 NOS,
,AUXILLIANY CONTACT ( HT ),,,5 ALMIRA / 1 RACK,,
,CARSEL KEY,,,5 ALMIRA / 1 RACK,7,
,INSULATOR PROTECTION ( HT ),HT,,5 ALMIRA / 1 RACK,,
,DC CONTACTOR 12V / 200A,DC,,5 ALMIRA / 1 RACK,0,
,32 PIN PLUG & SOCKET ASSLY ( JUNIPER ),,,5 ALMIRA / 1 RACK,4,
,SPRING CHARGING MOTOR 220V / DC,220V / DC,,5 ALMIRA / 1 RACK,5,
,52AB,52AB,,5 ALMIRA / 1 RACK,4,
,BASE RELAY ( 24V ),24V,,5 ALMIRA / 2 RACK,10 SET,
,INSTANTANEOUS UNDER VOLTAGE 220V / DC,220V / DC,,5 ALMIRA / 2 RACK,2,
,LIMIT SWITCH,,,5 ALMIRA / 2 RACK,10,
,MOTOR CUT OFF LIMIT SWITCH ASSY,,,5 ALMIRA / 2 RACK,5,
,CLOSING SPRING,,,5 ALMIRA / 2 RACK,5,
,TRIPING SPRING,,,5 ALMIRA / 2 RACK,5,
,SPRING CHARGE HANDAL,,,5 ALMIRA / 2 RACK,20,
,BREAKER WHEEL ( HT ),,,5 ALMIRA / 3 RACK,20,
,BUS BAR JOINT COVER,,,5 ALMIRA / 3 RACK,20,
,PULL TO TRIP KIT ( HT ),,,5 ALMIRA / 3 RACK,4,
CHNT CHINT ELECTRIC,CONTACTOR 40A,40 A COIL VOLTAGE 240 V,,5 ALMIRA / 3 RACK,3,
,SYNCHRO CHECH RELAY PS4 14N,,,5 ALMIRA / 4 RACK,7,
,EMERGENCY TRIPING ASSY ( HT ),,,5 ALMIRA / 4 RACK,5,
,INTER PANIL SEAT OF BUSHING,,,5 ALMIRA / 4 RACK,2,
,SFU HANDLE SHAFT,,,5 ALMIRA / 5 RACK,40,
,SUPPORTING INSULATION BUSHAR ( HT ),,,5 ALMIRA / 5 RACK,50,
,5 WAY MULTIPIU MAKE FEMALE,,,5 ALMIRA / 5 RACK,50,
,ROCKING NUT PLASTIC,,,5 ALMIRA / 5 RACK,25,
,GASKET FOR COVERING THE DOOR ( HT ),,,5 ALMIRA / 5 RACK,AVAILABLE,
,THELMAL INDICETOR STRIP,,,5 ALMIRA / 5 RACK,AVAILABLE,
